CustomerID,Recency,Frequency,Monetary,F_Score,R_Score,M_Score,RFM_Score,RFM_Segment
12346,326,1,77183.6,2,1,4,124,At-Risk
12347,2,7,4310.0,4,4,4,444,Champions
12348,75,4,1797.24,3,2,4,234,Others
12349,19,1,1757.55,2,3,4,324,Others
12350,310,1,334.4,2,1,2,122,Others
12352,36,8,2506.04,4,3,4,344,Potential Loyalist
12353,204,1,89.0,2,1,1,121,Others
12354,232,1,1079.4,2,1,3,123,At-Risk
12355,214,1,459.4,2,1,2,122,Others
12356,23,3,2811.43,3,3,4,334,Potential Loyalist
12357,33,1,6207.67,2,3,4,324,Others
12358,2,2,1168.06,3,4,3,433,Loyal
12359,58,4,6310.03,3,2,4,234,Others
12360,52,3,2662.06,3,2,4,234,Others
12361,287,1,189.9,2,1,2,122,Others
12362,3,10,5226.2300000000005,4,4,4,444,Champions
12363,110,2,552.0,3,2,3,233,Others
12364,8,4,1313.1,3,4,3,433,Loyal
12365,291,2,641.38,3,1,3,133,At-Risk
12367,4,1,168.9,2,4,2,422,Others
12370,51,4,3541.94,3,3,4,334,Potential Loyalist
12371,45,2,1887.96,3,3,4,334,Potential Loyalist
12372,72,3,1298.04,3,2,3,233,Others
12373,311,1,364.6,2,1,2,122,Others
12374,25,1,742.9300000000001,2,3,3,323,Others
12375,11,2,457.5,3,4,2,432,Loyal
12377,315,2,1628.12,3,1,4,134,At-Risk
12378,130,1,4008.62,2,2,4,224,Others
12379,82,2,852.24,3,2,3,233,Others
12380,22,4,2724.81,3,3,4,334,Potential Loyalist
12381,5,5,1845.31,4,4,4,444,Champions
12383,185,5,1850.56,4,1,4,144,At-Risk
12384,29,2,585.27,3,3,3,333,Potential Loyalist
12386,338,2,401.9,3,1,2,132,Others
12388,16,6,2780.66,4,4,4,444,Champions
12390,80,1,549.84,2,2,3,223,Others
12391,22,1,439.66,2,3,2,322,Others
12393,72,4,1582.6,3,2,4,234,Others
12394,64,2,1272.48,3,2,3,233,Others
12395,19,12,3018.63,4,3,4,344,Potential Loyalist
12397,36,2,2409.9,3,3,4,334,Potential Loyalist
12398,46,1,1635.66,2,3,4,324,Others
12399,119,4,1108.65,3,2,3,233,Others
12401,303,1,84.3,2,1,1,121,Others
12402,323,1,225.6,2,1,2,122,Others
12403,50,1,427.7,2,3,2,322,Others
12405,149,1,1710.39,2,1,4,124,At-Risk
12406,22,2,3415.3,3,3,4,334,Potential Loyalist
12407,50,5,1708.12,4,3,4,344,Potential Loyalist
12408,33,5,2888.55,4,3,4,344,Potential Loyalist
12409,79,3,11072.67,3,2,4,234,Others
12410,309,2,693.3299999999999,3,1,3,133,At-Risk
12412,75,3,1226.88,3,2,3,233,Others
12413,67,3,758.1,3,2,3,233,Others
12414,217,3,562.41,3,1,3,133,At-Risk
12415,24,21,124914.53,4,3,4,344,Potential Loyalist
12417,3,9,3649.1,4,4,4,444,Champions
12418,113,1,668.58,2,2,3,223,Others
12420,64,1,600.39,2,2,3,223,Others
